year,month,day,week,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend
2019,7,1,Fri,45,45,45.6,45,43,50,44,29
2019,7,2,Sat,44,45,45.7,44,41,50,44,61
2019,7,3,Sun,45,44,45.8,41,43,46,47,56
2019,7,4,Mon,44,41,45.9,40,44,48,46,53
2019,7,5,Tues,41,40,46,44,46,46,46,41
2019,7,6,Wed,40,44,46.1,51,43,49,48,40
2019,7,7,Thurs,44,51,46.2,45,45,49,46,38
2019,7,8,Fri,51,45,46.3,48,43,47,46,34
2019,7,9,Sat,45,48,46.4,50,46,50,45,47
2019,7,10,Sun,48,50,46.5,52,45,48,48,49
2019,7,11,Mon,50,52,46.7,45,42,48,48,39
2019,7,12,Tues,52,45,46.8,49,44,50,45,61
2019,7,13,Wed,45,49,46.9,55,45,51,46,33
2019,7,14,Thurs,49,55,47,49,43,47,46,58
2019,7,15,Fri,55,49,47.1,48,46,51,46,65
2019,7,16,Sat,49,48,47.3,54,45,52,46,28
2019,7,17,Sun,48,54,47.4,50,45,51,46,47
2019,7,18,Mon,54,50,47.5,54,44,48,49,58
2019,7,19,Tues,50,54,47.6,48,47,49,48,53
2019,7,20,Wed,54,48,47.7,52,44,52,49,61
2019,7,21,Thurs,48,52,47.8,52,43,51,46,57
2019,7,22,Fri,52,52,47.9,57,47,48,48,60
2019,7,23,Sat,52,57,48,48,45,49,50,37
2019,7,24,Sun,57,48,48.1,51,46,50,48,54
2019,7,25,Mon,48,51,48.2,54,45,51,49,63
2019,7,26,Tues,51,54,48.3,56,44,53,50,61
2019,7,27,Wed,54,56,48.4,57,45,51,49,54
2019,7,28,Thurs,56,57,48.4,56,44,52,48,34
2019,7,29,Fri,57,56,48.5,52,48,52,47,49
