date,meantempm,MaxTemp,MinTemp,meantempm_1,meanhumidity,maxhumidity,minhumidity,meanhumidity_1,meanpressurem,maxpressurem,minpressurem,precipm,windspeed,maxdew,mindew
01-Apr-19,27,33,21,26,60%,90%,30%,61%,1010%,1011,1008,156.3mm,2mph,24,20
02-Apr-19,26,29,22,25,62%,76%,48%,60%,1011%,1013,1009,150.6mm,3mph,23,21
03-Apr-19,29,34,24,30,61%,87%,35%,59%,1008%,1010,1006,148.40mm,2mph,21,20
04-Apr-19,28,33,23,29,59.50%,75%,44%,58.00%,1007%,1008,1005,156.3mm,3mph,25,21
05-Apr-19,29,34,24,28,61%,85%,37%,60%,1006%,1008,1004,156.3mm,6mph,22,20
06-Apr-19,27,31,23,26,73.50%,91%,56%,71.00%,1008%,1010,1006,154.5mm,3mph,24,21
07-Apr-19,27,32,23,30,71.50%,93%,50%,70.00%,1010%,1012,1008,153.5mm,3mph,24,22
08-Apr-19,28,33,23,31,69.50%,95%,44%,68.00%,1011%,1013,1009,150.6mm,6mph,25,21
09-Apr-19,31,33,28,29,53.50%,67%,40%,52.00%,1010%,1012,1008,151.6mm,3mph,23,20
10-Apr-19,31,33,28,30,50%,62%,38%,49%,1010%,1012,1007,155.8mm,3mph,23,21
11-Apr-19,28,33,23,27,66.50%,88%,45%,65.00%,1009%,1011,1007,156.3mm,3mph,24,20
12-Apr-19,27,33,21,25,65.50%,91%,40%,63.00%,1008%,1010,1006,156.3mm,3mph,23,20
13-Apr-19,27,33,22,26,64.50%,81%,48%,62.00%,1008%,1010,1006,155.3mm,3mph,25,21
14-Apr-19,32,34,29,31,64%,74%,54%,62%,1008%,1009,1006,153.6mm,9mph,23,21
15-Apr-19,27,33,22,26,62.50%,83%,42%,61.00%,1009%,1010,1007,153.6mm,0mph,25,22
16-Apr-19,30,35,25,28,66%,94%,38%,63%,1007%,1009,1005,150.6mm,2mph,22,20
17-Apr-19,26,29,24,24,70.50%,78%,63%,69.00%,1009%,1011,1007,153.6mm,6mph,21,20
18-Apr-19,27,32,21,29,75.50%,100%,51%,74.00%,1008%,1012,1004,153.6mm,2mph,24,20
19-Apr-19,29,32,26,28,67.50%,76%,59%,66.00%,1005%,1007,1003,153.6mm,6mph,23,20
20-Apr-19,30,30,30,32,70.50%,76%,65%,68.00%,1006%,1007,1004,153.6mm,2mph,25,21
21-Apr-19,28,31,24,30,82%,88%,76%,80%,1005%,1006,1003,153.6mm,3mph,23,21
22-Apr-19,29,33,26,30,78%,95%,61%,76%,1008%,1009,1006,153.6mm,6mph,24,20
23-Apr-19,30,35,24,26,73.50%,93%,54%,71.00%,1008%,1010,1005,150.3mm,2mph,22,20
24-Apr-19,29,33,26,28,75%,92%,58%,73%,1008%,1009,1006,151.6mm,2mph,23,21
25-Apr-19,28,34,22,26,66%,95%,37%,64%,1005%,1007,1002,153.6mm,3mph,22,21
26-Apr-19,28,33,22,25,60%,84%,36%,58%,1008%,1009,1006,153.6mm,6mph,23,20
27-Apr-19,27,31,22,26,53.50%,91%,16%,52.00%,1009%,1011,1007,156.3mm,5mph,24,20
28-Apr-19,29,34,25,28,69.50%,85%,51%,67.00%,1008%,1010,1005,150mm,6mph,25,20
29-Apr-19,23,27,20,25,83.50%,92%,73%,81.00%,1007%,1010,1004,153.5,6mph,25,20
30-Apr-19,25,27,22,24,79.50%,83%,76%,77.00%,1007%,1007,1007,153.4mm,3mph,23,20
